,datetime,Observation ID
0,2024-10-27,1
1,2024-11-09,4
2,2024-11-10,1
3,2024-11-14,2
4,2024-11-15,1
5,2024-11-17,2
6,2024-11-22,1
7,2024-11-23,1
8,2024-11-27,11
9,2024-11-28,3
10,2024-11-29,5
11,2024-11-30,8
12,2024-12-01,5
13,2024-12-02,2
14,2024-12-03,4
15,2024-12-11,1
16,2024-12-13,1
17,2024-12-14,1
18,2024-12-15,2
19,2024-12-16,1
20,2024-12-18,4
21,2024-12-19,2
22,2024-12-20,1
23,2024-12-27,2
24,2024-12-29,8
25,2024-12-30,3
26,2024-12-31,7
27,2025-01-01,1
28,2025-01-02,4
29,2025-01-03,3
30,2025-01-04,2
31,2025-01-05,4
32,2025-01-06,6
33,2025-01-07,1
34,2025-01-08,3
35,2025-01-09,2
36,2025-01-10,1
37,2025-01-11,9
38,2025-01-12,2
39,2025-01-13,1
40,2025-01-15,1
41,2025-01-18,3
42,2025-01-19,2
43,2025-01-20,2
44,2025-01-21,5
45,2025-01-22,1
46,2025-01-25,4
47,2025-01-26,5
48,2025-01-27,5
49,2025-01-28,1
50,2025-01-29,2
51,2025-01-30,1
52,2025-01-31,1
53,2025-02-01,1
54,2025-02-02,2
55,2025-02-06,1
56,2025-02-08,2
57,2025-02-09,1
58,2025-02-10,2
59,2025-02-12,1
60,2025-02-13,2
61,2025-02-14,1
62,2025-02-15,2
63,2025-02-16,8
64,2025-02-17,1
65,2025-02-18,1
66,2025-02-19,5
67,2025-02-20,4
68,2025-02-21,9
69,2025-02-22,9
70,2025-02-23,5
