Day,1,2,3,4,5,6,7,8,9,10,11,12
1,-23.06666667,-17.33333333,-7.816666667,4.3,14.9,21.96666667,23.15,18.16666667,8.5,-2.95,-14.23333333,-21.71666667
2,-22.98333333,-17.05,-7.433333333,4.7,15.2,22.1,23.08333333,17.91666667,8.15,-3.333333333,-14.56666667,-21.86666667
3,-22.9,-16.76666667,-7.05,5.083333333,15.5,22.23333333,23.01666667,17.66666667,7.783333333,-3.733333333,-14.88333333,-22.01666667
4,-22.8,-16.46666667,-6.666666667,5.466666667,15.78333333,22.36666667,22.93333333,17.4,7.416666667,-4.116666667,-15.18333333,-22.16666667
5,-22.7,-16.16666667,-6.283333333,5.85,16.08333333,22.48333333,22.85,17.13333333,7.05,-4.5,-15.5,-22.3
6,-22.6,-15.86666667,-5.9,6.216666667,16.36666667,22.58333333,22.75,16.86666667,6.666666667,-4.883333333,-15.8,-22.41666667
7,-22.46666667,-15.56666667,-5.5,6.6,16.65,22.7,22.65,16.6,6.3,-5.266666667,-16.1,-22.53333333
8,-22.35,-15.25,-5.116666667,6.983333333,16.91666667,22.78333333,22.55,16.31666667,5.933333333,-5.65,-16.4,-22.65
9,-22.21666667,-14.93333333,-4.733333333,7.35,17.2,22.88333333,22.43333333,16.03333333,5.55,-6.033333333,-16.68333333,-22.76666667
10,-22.08333333,-14.61666667,-4.333333333,7.716666667,17.45,22.96666667,22.31666667,15.75,5.166666667,-6.416666667,-16.96666667,-22.86666667
11,-21.93333333,-14.3,-3.95,8.116666667,17.71666667,23.03333333,22.18333333,15.45,4.8,-6.8,-17.25,-22.95
12,-21.78333333,-13.96666667,-3.55,8.466666667,17.98333333,23.11666667,22.06666667,15.16666667,4.416666667,-7.166666667,-17.53333333,-23.03333333
13,-21.61666667,-13.63333333,-3.166666667,8.833333333,18.23333333,23.18333333,21.91666667,14.86666667,4.033333333,-7.533333333,-17.8,-23.11666667
14,-21.45,-13.3,-2.766666667,9.183333333,18.48333333,23.23333333,21.76666667,14.55,3.65,-7.916666667,-18.06666667,-23.18333333
15,-21.26666667,-12.96666667,-2.366666667,9.55,18.71666667,23.28333333,21.61666667,14.25,3.266666667,-8.3,-18.33333333,-23.23333333
16,-21.1,-12.61666667,-1.983333333,9.9,18.96666667,23.33333333,21.46666667,13.93333333,2.883333333,-8.666666667,-18.58333333,-23.28333333
17,-20.9,-12.26666667,-1.583333333,10.26666667,19.18333333,23.36666667,21.3,13.61666667,2.5,-9.033333333,-18.83333333,-23.33333333
18,-20.7,-11.91666667,-1.183333333,10.61666667,19.41666667,23.4,21.13333333,13.3,2.1,-9.4,-19.08333333,-23.36666667
19,-20.5,-11.56666667,-0.8,10.96666667,19.63333333,23.41666667,20.96666667,12.98333333,1.716666667,-9.75,-19.31666667,-23.4
20,-20.3,-11.21666667,-0.4,11.31666667,19.85,23.43333333,20.78333333,12.65,1.333333333,-10.11666667,-19.55,-23.41666667
21,-20.08333333,-10.86666667,0,11.65,20.06666667,23.43333333,20.6,12.31666667,0.95,-10.48333333,-19.78333333,-23.43333333
22,-19.86666667,-10.5,0.4,12,20.26666667,23.43333333,20.4,11.98333333,0.55,-10.83333333,-20,-23.43333333
23,-19.63333333,-10.13333333,0.783333333,12.33333333,20.46666667,23.43333333,20.2,11.65,0.166666667,-11.2,-20.21666667,-23.43333333
24,-19.4,-9.766666667,1.183333333,12.66666667,20.65,23.41666667,20,11.31666667,-0.233333333,-11.55,-20.43333333,-23.43333333
25,-19.16666667,-9.4,1.583333333,13,20.83333333,23.4,19.78333333,10.96666667,-0.616666667,-11.9,-20.63333333,-23.41666667
26,-18.91666667,-9.033333333,1.966666667,13.31666667,21.01666667,23.38333333,19.56666667,10.63333333,-1,-12.23333333,-20.83333333,-23.38333333
27,-18.66666667,-8.65,2.366666667,13.63333333,21.2,23.35,19.35,10.28333333,-1.4,-12.58333333,-21.01666667,-23.35
28,-18.41666667,-8.283333333,2.75,13.96666667,21.36666667,23.31666667,19.13333333,9.933333333,-1.783333333,-12.91666667,-21.2,-23.31666667
29,-18.15,-8.05,3.15,14.26666667,21.51666667,23.26666667,18.9,9.583333333,-2.166666667,-13.25,-21.38333333,-23.26666667
30,-17.88333333,NA,3.533333333,14.58333333,21.68333333,23.21666667,18.66666667,9.216666667,-2.566666667,-13.58333333,-21.55,-23.2
31,-17.61666667,NA,3.916666667,NA,21.83333333,NA,18.41666667,8.866666667,NA,-13.91666667,NA,-23.13333333
